seed,problem,algorithm,n_eval,n_gen,gd+
0,dtlz2,nsga2,300,3,0.5021344519870763
0,dtlz2,nsga2,400,4,0.505586914060593
0,dtlz2,nsga2,500,5,0.41435146808310686
0,dtlz3,nsga2,100,1,710.9368245502286
0,dtlz3,nsga2,200,2,639.9014018346808
0,dtlz3,nsga2,300,3,571.4513375193657
0,dtlz3,nsga2,400,4,554.5345157527714
0,dtlz3,nsga2,500,5,532.4798579232513
0,dtlz4,nsga2,100,1,0.482184288300677
0,dtlz4,nsga2,200,2,0.4737669545324058
0,dtlz4,nsga2,300,3,0.4220314907902099
0,dtlz4,nsga2,400,4,0.437089835013236
0,dtlz4,nsga2,500,5,0.422270684633164
0,dtlz5,nsga2,100,1,0.4957234956139701
0,dtlz5,nsga2,200,2,0.5011119394353832
0,dtlz5,nsga2,300,3,0.4703484807320095
0,dtlz5,nsga2,400,4,0.4020961480352287
0,dtlz5,nsga2,500,5,0.3907900048707356
0,dtlz6,nsga2,100,1,7.2718107461867705
0,dtlz6,nsga2,200,2,7.260216231699915
0,dtlz6,nsga2,300,3,7.19641296377066
0,dtlz6,nsga2,400,4,7.14215958190489
0,dtlz6,nsga2,500,5,7.028063060157166
0,dtlz7,nsga2,100,1,10.227364168013601
0,dtlz7,nsga2,200,2,8.478652879333332
0,dtlz7,nsga2,300,3,6.271207680681762
0,dtlz7,nsga2,400,4,6.168140280442222
0,dtlz7,nsga2,500,5,5.329682912162083
0,sdtlz1,nsga2,100,1,11101.019729946474
0,sdtlz1,nsga2,200,2,8703.023675066876
0,sdtlz1,nsga2,300,3,7845.992063510682
0,sdtlz1,nsga2,400,4,8170.70473941201
0,sdtlz1,nsga2,500,5,8248.475793010208
0,c1dtlz1,nsga2,100,1,
0,c1dtlz1,nsga2,200,2,
0,c1dtlz1,nsga2,300,3,
0,c1dtlz1,nsga2,400,4,
0,c1dtlz1,nsga2,500,5,
0,c1dtlz3,nsga2,100,1,925.7224975527008
0,c1dtlz3,nsga2,200,2,931.1880406649422
0,c1dtlz3,nsga2,300,3,928.3418532489648
0,c1dtlz3,nsga2,400,4,842.1272590453978
0,c1dtlz3,nsga2,500,5,737.0929039724767
0,c2dtlz2,nsga2,100,1,0.22541762802355622
0,c2dtlz2,nsga2,200,2,0.22996414950578714
0,c2dtlz2,nsga2,300,3,0.2335598792532281
0,c2dtlz2,nsga2,400,4,0.1987757711904637
0,c2dtlz2,nsga2,500,5,0.139115339833606
0,c3dtlz1,nsga2,100,1,368.11187373325726
0,c3dtlz1,nsga2,200,2,365.2388872352065
0,c3dtlz1,nsga2,300,3,340.1852966361546
0,c3dtlz1,nsga2,400,4,327.5660176204544
0,c3dtlz1,nsga2,500,5,304.22123701895856
0,c3dtlz4,nsga2,100,1,
0,c3dtlz4,nsga2,200,2,0.025191375657273012
0,c3dtlz4,nsga2,300,3,0.21672620684347257
0,c3dtlz4,nsga2,400,4,0.10740546650672646
0,c3dtlz4,nsga2,500,5,0.13989485670798243
0,dc1dtlz1,nsga2,100,1,316.6269893815738
0,dc1dtlz1,nsga2,200,2,316.2184353960564
0,dc1dtlz1,nsga2,300,3,323.62661298775015
0,dc1dtlz1,nsga2,400,4,351.2904630332137
0,dc1dtlz1,nsga2,500,5,359.22635019562983
0,dc1dtlz3,nsga2,100,1,887.0257021267593
0,dc1dtlz3,nsga2,200,2,883.9417280938854
0,dc1dtlz3,nsga2,300,3,873.9429847111253
0,dc1dtlz3,nsga2,400,4,879.7206139003467
0,dc1dtlz3,nsga2,500,5,784.3731492272408
0,dc2dtlz1,nsga2,100,1,
0,dc2dtlz1,nsga2,200,2,
0,dc2dtlz1,nsga2,300,3,
0,dc2dtlz1,nsga2,400,4,
0,dc2dtlz1,nsga2,500,5,
0,dc2dtlz3,nsga2,100,1,
0,dc2dtlz3,nsga2,200,2,
0,dc2dtlz3,nsga2,300,3,
0,dc2dtlz3,nsga2,400,4,
0,dc2dtlz3,nsga2,500,5,
0,dc3dtlz1,nsga2,100,1,523.5432940447979
0,dc3dtlz1,nsga2,200,2,447.4622918928854
0,dc3dtlz1,nsga2,300,3,408.9592869565104
0,dc3dtlz1,nsga2,400,4,383.4552488821202
0,dc3dtlz1,nsga2,500,5,365.83105600109053
0,dc3dtlz3,nsga2,100,1,1435.1810793160598
0,dc3dtlz3,nsga2,200,2,1166.34158797046
0,dc3dtlz3,nsga2,300,3,1027.5915005272016
0,dc3dtlz3,nsga2,400,4,948.0008131997911
0,dc3dtlz3,nsga2,500,5,924.4819498796334
0,kursawe,nsga2,100,1,5.667227104713717
0,kursawe,nsga2,200,2,1.905945828192656
0,kursawe,nsga2,300,3,1.2119872594913286
0,kursawe,nsga2,400,4,1.2843215783838948
0,kursawe,nsga2,500,5,0.9539985940650799
0,osy,nsga2,100,1,68.50084344104754
0,osy,nsga2,200,2,30.109356073807852
0,osy,nsga2,300,3,37.89835510373766
0,osy,nsga2,400,4,41.136431853668334
0,osy,nsga2,500,5,41.21956637500144
0,srn,nsga2,100,1,5.655791592606337
0,srn,nsga2,200,2,5.736589494272869
0,srn,nsga2,300,3,2.6230890533450064
0,srn,nsga2,400,4,2.5245478788305173
0,srn,nsga2,500,5,2.804731749964702
0,tnk,nsga2,100,1,0.14357315415366725
0,tnk,nsga2,200,2,0.05509220060502755
0,tnk,nsga2,300,3,0.058124025194378516
0,tnk,nsga2,400,4,0.05623990754917956
0,tnk,nsga2,500,5,0.05262153752741068
0,truss2d,nsga2,100,1,0.0057009622323219294
0,truss2d,nsga2,200,2,0.005046894206423268
0,truss2d,nsga2,300,3,0.005952136802906896
0,truss2d,nsga2,400,4,0.0025518246481940855
0,truss2d,nsga2,500,5,0.001981780115153819
0,welded_beam,nsga2,100,1,3.631644921259468
0,welded_beam,nsga2,200,2,34.980866493114796
0,welded_beam,nsga2,300,3,0.8492501612962776
0,welded_beam,nsga2,400,4,12.917467397191896
0,welded_beam,nsga2,500,5,1.5484221230312134
0,zdt1,nsga2,100,1,2.9422967906998228
0,zdt1,nsga2,200,2,2.359594770739317
0,zdt1,nsga2,300,3,2.24306406640475
0,zdt1,nsga2,400,4,1.9627699475974754
0,zdt1,nsga2,500,5,1.7559917301056684
0,zdt2,nsga2,100,1,3.8994355863729684
0,zdt2,nsga2,200,2,3.4887596186540066
