seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,bnh,unsga3,325,25,0.5485200946583916,0.43442629581556036,1.7080100106943061,5.107033606519046,-4814.795937416028
0,bnh,unsga3,338,26,0.633749283279714,0.48006642193113763,1.6908475297488743,5.034226058303243,-4818.591575658046
0,bnh,unsga3,351,27,0.66904479457244,0.5104374882843161,1.7481958061927392,5.066310569719425,-4810.739981083968
0,bnh,unsga3,364,28,0.6812772249444716,0.509257691147421,1.799126577111455,5.264118138314074,-4801.761091636248
0,bnh,unsga3,377,29,0.6464561993603066,0.46193859658473124,1.7498978579663773,5.237909462087159,-4808.473568958988
0,bnh,unsga3,390,30,0.6387450300684081,0.44823974955529305,1.735824734823816,5.222744460502806,-4810.628715013129
0,bnh,unsga3,403,31,0.6088658542331784,0.41902806096172773,1.8469951109392775,6.04783384603355,-4788.251792538631
0,bnh,unsga3,416,32,0.5140622717917925,0.37340426036466645,1.8517770308476782,6.019589820389324,-4788.025407781498
0,bnh,unsga3,429,33,0.5984662053361238,0.408981398565424,1.8776362436443146,6.036671235861059,-4784.163956464731
0,bnh,unsga3,442,34,0.576256061805223,0.3676773060709617,1.8855515837146948,6.022288290294239,-4783.732800589521
0,bnh,unsga3,455,35,0.5666922584679551,0.3592322796956168,1.8684478821338262,6.011384535047101,-4786.002328314398
0,bnh,unsga3,468,36,0.5666922584679551,0.3592322796956168,1.8684478821338262,6.011384535047101,-4786.002328314398
0,bnh,unsga3,481,37,0.5818187103562565,0.37020241628072914,1.8507187995340166,5.99885023119877,-4788.475941276764
0,bnh,unsga3,494,38,0.583587815323017,0.39434588996844117,1.8476147366261302,5.990619581898965,-4788.508733968438
0,bnh,unsga3,507,39,0.5529309302679725,0.3952337093205565,1.8861122597058866,6.024326060047985,-4783.377424453057
0,ctp1,nsga2,100,1,0.1237509478480576,0.1237509478480576,0.051711512366883046,0.06310186178319623,-0.23736869916589604
0,ctp1,nsga2,200,2,0.0905689638295627,0.0905689638295627,0.042802116931638975,0.05178753343756931,-0.24679726755361514
0,ctp1,nsga2,300,3,0.07528311454759194,0.07528311454759194,0.037072343117850175,0.042551690133011404,-0.25531511220589626
0,ctp1,nsga2,400,4,0.07601415014229206,0.07601415014229206,0.03317321964229267,0.03921943159397924,-0.26057345874400173
0,ctp1,nsga2,500,5,0.04014196345113866,0.04014196345113866,0.031070985134802078,0.03738507797147591,-0.263704543228497
0,ctp1,nsga3,13,1,0.3355673609593284,0.3355673609593284,0.22595499522579185,0.2540816499510378,-0.02649385593927657
0,ctp1,nsga3,26,2,0.4348717712747862,0.4348717712747862,0.4682568367157605,0.4686740571434389,-0.02674270629532764
0,ctp1,nsga3,39,3,0.4251391133855514,0.4251391133855514,0.44016244805503263,0.44021638000966457,-0.027127402499083856
0,ctp1,nsga3,52,4,0.3311322060654575,0.3311322060654575,0.187314930483198,0.209106774625068,-0.06674864678596358
0,ctp1,nsga3,65,5,0.2519779747408522,0.2519779747408522,0.15165858816058087,0.17572309628663468,-0.11590012493118726
0,ctp1,nsga3,78,6,0.21727176677490675,0.21727176677490675,0.1483137837527576,0.17204361395977047,-0.11677503083063648
0,ctp1,nsga3,91,7,0.17919211659634396,0.17919211659634396,0.1483137837527576,0.17204361395977047,-0.11677503083063648
0,ctp1,nsga3,104,8,0.1585860463230366,0.1585860463230366,0.13167687770130554,0.1541834662881342,-0.1426993553235555
0,ctp1,nsga3,117,9,0.13278296412870128,0.13278296412870128,0.10185524433730189,0.1257531942920582,-0.17251297908687657
0,ctp1,nsga3,130,10,0.07151855929754894,0.07151855929754894,0.0806418369351739,0.11581477222701898,-0.19752257932176692
0,ctp1,nsga3,143,11,0.049419010196456614,0.049419010196456614,0.07845615808809939,0.11899511259254211,-0.2011507615488233
0,ctp1,nsga3,156,12,0.04129460426449208,0.04129460426449208,0.06889357763309864,0.09863387048915512,-0.21382925801228167
0,ctp1,nsga3,169,13,0.030767026197310976,0.030756199891809062,0.06638447957701792,0.0925482083323848,-0.2169898192888264
0,ctp1,nsga3,182,14,0.03297130029166804,0.032966169726028595,0.06585049318816208,0.09483266467228424,-0.21676663252809136
0,ctp1,nsga3,195,15,0.044223690713561796,0.044223642914709586,0.065846075426903,0.09201036614705554,-0.21861061373212987
0,ctp1,nsga3,208,16,0.04086210882159252,0.04085996338034223,0.06188578162600911,0.08761526880390144,-0.22291654862346674
0,ctp1,nsga3,221,17,0.035610068872435056,0.035608118471298425,0.056055505562215474,0.08208765464047005,-0.2310539692906544
0,ctp1,nsga3,234,18,0.03125516262921381,0.03125301718796352,0.054964710367481816,0.08085159716885915,-0.2310630743509455
0,ctp1,nsga3,247,19,0.029242495152504266,0.02924035303734095,0.05375048556725461,0.08016542160444246,-0.2323209868755093
0,ctp1,nsga3,260,20,0.012464725344887118,0.012463969629394257,0.06026738778527374,0.1018274262539245,-0.21861142402120803
0,ctp1,nsga3,273,21,0.009480076518180936,0.009442681109862803,0.048765335466558556,0.07581159241491466,-0.2376308330128821
0,ctp1,nsga3,286,22,0.012676498663784175,0.01261217426371778,0.04636259819832591,0.0699889187929433,-0.24196624848903586
0,ctp1,nsga3,299,23,0.01229614857666295,0.012261756263107368,0.04642911557660089,0.07019245300132002,-0.2419589435666929
0,ctp1,nsga3,312,24,0.00567286255718477,0.005499238705168264,0.041878372601928546,0.0696485484850025,-0.24823173774591345
0,ctp1,nsga3,325,25,0.007995102692182895,0.007856203610569691,0.030136645710537098,0.04816158612577906,-0.2643520710511534
0,ctp1,nsga3,338,26,0.008705541843001362,0.0085512095300978,0.03419495292151349,0.05261872740186954,-0.25836014963997384
0,ctp1,nsga3,351,27,0.008705541843001362,0.0085512095300978,0.03419495292151349,0.05261872740186954,-0.25836014963997384
0,ctp1,nsga3,364,28,0.005563750198217882,0.005528101977826314,0.03415963244186165,0.058144505207425076,-0.2579024502516094
0,ctp1,nsga3,377,29,0.012559728049471986,0.01252298160314359,0.03222638813755057,0.04951658363441622,-0.2619648179292253
0,ctp1,nsga3,390,30,0.012540639926699227,0.012507568125003667,0.028257146096663733,0.04563258448350806,-0.26743588048141564
0,ctp1,nsga3,403,31,0.01401616798397346,0.013986102709704773,0.026577234672077843,0.04353973693211864,-0.26961662179705376
0,ctp1,nsga3,416,32,0.013732718243695062,0.013659407130336289,0.025785358194600608,0.043272991467010934,-0.27067756723718656
0,ctp1,nsga3,429,33,0.01442214455333442,0.014378898714244337,0.026446424840960908,0.0441422046576324,-0.2700567999895874
0,ctp1,nsga3,442,34,0.01219282441087357,0.012087815459313951,0.027057605142131163,0.04519390943971696,-0.2687641003716446
0,ctp1,nsga3,455,35,0.014978976539105418,0.014858134378708579,0.024272392803776407,0.034843264201600346,-0.2737491941236896
0,ctp1,nsga3,468,36,0.010328554381056265,0.010162416660162512,0.024266306577200875,0.03487607067411508,-0.2737356428432665
0,ctp1,nsga3,481,37,0.013011822591739693,0.012864306472898199,0.0239173413679113,0.03434502559692764,-0.27401888778818406
0,ctp1,nsga3,494,38,0.014167364924264625,0.014028191543850531,0.02316473289389755,0.03337816786896801,-0.2755269888652446
0,ctp1,nsga3,507,39,0.010455295855595653,0.010278130528475442,0.022908194758681482,0.03455844607856817,-0.2754121908114981
0,ctp1,unsga3,13,1,0.3272477966301988,0.3272477966301988,0.18749037719567307,0.20685484110077296,-0.11070564726668608
0,ctp1,unsga3,26,2,0.34544774966788266,0.34544774966788266,0.21589050682872396,0.23343098894925943,-0.08214261405474488
0,ctp1,unsga3,39,3,0.33087564941605657,0.33087564941605657,0.16185095117008413,0.18360772213387838,-0.13034262935779184
0,ctp1,unsga3,52,4,0.31305822215674145,0.31305822215674145,0.151331308987658,0.17758665265642265,-0.14110678051796913
