seed,problem,algorithm,n_eval,n_gen,gd+
0,wfg3,nsga2,100,1,0.7474121548602963
0,wfg3,nsga2,200,2,0.8552580047997672
0,wfg3,nsga2,300,3,0.8210830713923337
0,wfg3,nsga2,400,4,0.7693450170607259
0,wfg3,nsga2,500,5,0.7734519112741013
0,wfg4,nsga2,100,1,0.5361681098650025
0,wfg4,nsga2,200,2,0.5048796242239487
0,wfg4,nsga2,300,3,0.5149487619322752
0,wfg4,nsga2,400,4,0.47581878494301016
0,wfg4,nsga2,500,5,0.4457652343203031
0,wfg5,nsga2,100,1,0.755228024834952
0,wfg5,nsga2,200,2,0.745967176957131
0,wfg5,nsga2,300,3,0.7178273480831959
0,wfg5,nsga2,400,4,0.68086967925371
0,wfg5,nsga2,500,5,0.6608060776449491
0,wfg6,nsga2,100,1,0.9045676420364221
0,wfg6,nsga2,200,2,0.8781307394656976
0,wfg6,nsga2,300,3,0.8097064473563843
0,wfg6,nsga2,400,4,0.7655347575278855
0,wfg6,nsga2,500,5,0.6869672695058177
0,wfg7,nsga2,100,1,0.666643518210143
0,wfg7,nsga2,200,2,0.631262270101435
0,wfg7,nsga2,300,3,0.6416962287005933
0,wfg7,nsga2,400,4,0.6213602967940076
0,wfg7,nsga2,500,5,0.6043638072093177
0,wfg8,nsga2,100,1,0.9277443218957124
0,wfg8,nsga2,200,2,0.9069952463779635
0,wfg8,nsga2,300,3,0.9096549376096076
0,wfg8,nsga2,400,4,0.8800540193831258
0,wfg8,nsga2,500,5,0.851887978743239
0,wfg9,nsga2,100,1,0.7920454618956236
0,wfg9,nsga2,200,2,0.7371995143711986
0,wfg9,nsga2,300,3,0.6692629600186084
0,wfg9,nsga2,400,4,0.6191700400613839
0,wfg9,nsga2,500,5,0.5729610476986051
