seed,problem,algorithm,n_eval,n_gen,best
0,ackley,nelder-mead,346,145,4.440892098500626e-16
0,ackley,nelder-mead,350,146,4.440892098500626e-16
0,ackley,nelder-mead,354,147,4.440892098500626e-16
0,ackley,nelder-mead,358,148,4.440892098500626e-16
0,ackley,nelder-mead,362,149,4.440892098500626e-16
0,ackley,nelder-mead,366,150,4.440892098500626e-16
0,ackley,nelder-mead,370,151,4.440892098500626e-16
0,ackley,nelder-mead,374,152,4.440892098500626e-16
0,ackley,nelder-mead,378,153,4.440892098500626e-16
0,ackley,nelder-mead,382,154,4.440892098500626e-16
0,ackley,nelder-mead,386,155,4.440892098500626e-16
0,ackley,nelder-mead,390,156,4.440892098500626e-16
0,ackley,nelder-mead,394,157,4.440892098500626e-16
0,ackley,nelder-mead,398,158,4.440892098500626e-16
0,ackley,nelder-mead,402,159,4.440892098500626e-16
0,ackley,nelder-mead,406,160,4.440892098500626e-16
0,ackley,nelder-mead,410,161,4.440892098500626e-16
0,ackley,nelder-mead,414,162,4.440892098500626e-16
0,ackley,nelder-mead,418,163,4.440892098500626e-16
0,ackley,nelder-mead,422,164,4.440892098500626e-16
0,ackley,nelder-mead,426,165,4.440892098500626e-16
0,ackley,nelder-mead,430,166,4.440892098500626e-16
0,ackley,nelder-mead,434,167,4.440892098500626e-16
0,ackley,nelder-mead,438,168,4.440892098500626e-16
0,ackley,nelder-mead,442,169,4.440892098500626e-16
0,ackley,nelder-mead,446,170,4.440892098500626e-16
0,ackley,nelder-mead,450,171,4.440892098500626e-16
0,ackley,nelder-mead,454,172,4.440892098500626e-16
0,ackley,nelder-mead,458,173,4.440892098500626e-16
0,ackley,nelder-mead,462,174,4.440892098500626e-16
0,ackley,nelder-mead,466,175,4.440892098500626e-16
0,ackley,nelder-mead,470,176,4.440892098500626e-16
0,ackley,nelder-mead,474,177,4.440892098500626e-16
0,ackley,nelder-mead,478,178,4.440892098500626e-16
0,ackley,nelder-mead,482,179,4.440892098500626e-16
0,ackley,nelder-mead,486,180,4.440892098500626e-16
0,ackley,nelder-mead,490,181,4.440892098500626e-16
0,ackley,nelder-mead,494,182,4.440892098500626e-16
0,ackley,nelder-mead,498,183,4.440892098500626e-16
0,ackley,nelder-mead,502,184,4.440892098500626e-16
0,ackley,pattern-search,20,1,9.464761723084752
0,ackley,pattern-search,23,2,9.156464883258154
0,ackley,pattern-search,28,3,9.156464883258154
0,ackley,pattern-search,32,4,2.859369251178919
0,ackley,pattern-search,37,5,2.859369251178919
0,ackley,pattern-search,40,6,2.6460948843331953
0,ackley,pattern-search,45,7,2.6460948843331953
0,ackley,pattern-search,49,8,0.1518422738005616
